timestamp,room,occupancy,lights_on,ac_on,energy_kwh
2025-01-01 00:00:00,Room101,0,0,0,0.485
2025-01-01 00:00:00,Room102,0,0,0,0.247
2025-01-01 00:00:00,Room201,0,0,0,0.412
2025-01-01 00:00:00,Room202,2,1,0,0.618
2025-01-01 00:00:00,Lab1,0,0,0,0.357
2025-01-01 00:00:00,Lab2,0,0,0,0.242
2025-01-01 00:00:00,Lab3,0,0,0,0.436
2025-01-01 00:00:00,Library,0,0,0,0.214
2025-01-01 00:00:00,SeminarHall,0,0,0,0.485
2025-01-01 00:00:00,Auditorium,0,0,0,0.229
2025-01-01 01:00:00,Room101,0,0,0,0.349
2025-01-01 01:00:00,Room102,0,0,0,0.399
2025-01-01 01:00:00,Room201,0,0,0,0.255
2025-01-01 01:00:00,Room202,2,1,0,0.948
2025-01-01 01:00:00,Lab1,0,0,0,0.259
2025-01-01 01:00:00,Lab2,0,0,0,0.281
2025-01-01 01:00:00,Lab3,0,0,0,0.363
2025-01-01 01:00:00,Library,0,0,0,0.496
2025-01-01 01:00:00,SeminarHall,0,0,0,0.445
2025-01-01 01:00:00,Auditorium,0,0,0,0.222
2025-01-01 02:00:00,Room101,2,1,0,0.786
2025-01-01 02:00:00,Room102,0,0,0,0.298
2025-01-01 02:00:00,Room201,2,1,0,0.678
2025-01-01 02:00:00,Room202,0,0,0,0.368
2025-01-01 02:00:00,Lab1,0,0,0,0.328
2025-01-01 02:00:00,Lab2,0,0,0,0.391
2025-01-01 02:00:00,Lab3,2,1,0,0.698
2025-01-01 02:00:00,Library,0,0,0,0.223
2025-01-01 02:00:00,SeminarHall,2,1,0,0.932
2025-01-01 02:00:00,Auditorium,2,1,0,0.824
2025-01-01 03:00:00,Room101,2,1,0,0.864
2025-01-01 03:00:00,Room102,0,0,0,0.328
2025-01-01 03:00:00,Room201,0,0,0,0.353
2025-01-01 03:00:00,Room202,0,0,0,0.301
2025-01-01 03:00:00,Lab1,0,0,0,0.411
2025-01-01 03:00:00,Lab2,5,1,0,0.725
2025-01-01 03:00:00,Lab3,0,0,0,0.211
2025-01-01 03:00:00,Library,0,0,0,0.284
2025-01-01 03:00:00,SeminarHall,0,0,0,0.347
2025-01-01 03:00:00,Auditorium,0,0,0,0.428
2025-01-01 04:00:00,Room101,0,0,0,0.39
2025-01-01 04:00:00,Room102,0,0,0,0.451
2025-01-01 04:00:00,Room201,0,0,0,0.377
2025-01-01 04:00:00,Room202,0,0,0,0.268
2025-01-01 04:00:00,Lab1,0,0,0,0.316
2025-01-01 04:00:00,Lab2,0,0,0,0.234
2025-01-01 04:00:00,Lab3,0,0,0,0.398
2025-01-01 04:00:00,Library,0,0,0,0.273
2025-01-01 04:00:00,SeminarHall,2,1,0,0.792
2025-01-01 04:00:00,Auditorium,0,0,0,0.469
2025-01-01 05:00:00,Room101,0,0,0,0.225
2025-01-01 05:00:00,Room102,0,0,0,0.203
2025-01-01 05:00:00,Room201,0,0,0,0.248
2025-01-01 05:00:00,Room202,0,0,0,0.267
2025-01-01 05:00:00,Lab1,0,0,0,0.424
2025-01-01 05:00:00,Lab2,0,0,0,0.37
2025-01-01 05:00:00,Lab3,0,0,0,0.273
2025-01-01 05:00:00,Library,2,1,0,0.928
2025-01-01 05:00:00,SeminarHall,0,0,0,0.348
2025-01-01 05:00:00,Auditorium,0,0,0,0.207
2025-01-01 06:00:00,Room101,2,1,0,1.061
2025-01-01 06:00:00,Room102,0,0,0,0.478
2025-01-01 06:00:00,Room201,5,1,0,0.844
2025-01-01 06:00:00,Room202,2,1,0,0.646
2025-01-01 06:00:00,Lab1,2,1,0,0.88
2025-01-01 06:00:00,Lab2,0,0,0,0.497
2025-01-01 06:00:00,Lab3,2,1,0,0.931
2025-01-01 06:00:00,Library,0,0,0,0.288
2025-01-01 06:00:00,SeminarHall,2,1,0,0.927
2025-01-01 06:00:00,Auditorium,0,0,0,0.395
2025-01-01 07:00:00,Room101,2,1,0,0.714
2025-01-01 07:00:00,Room102,0,0,0,0.211
2025-01-01 07:00:00,Room201,0,0,0,0.377
2025-01-01 07:00:00,Room202,2,1,0,0.646
2025-01-01 07:00:00,Lab1,0,0,0,0.265
2025-01-01 07:00:00,Lab2,0,0,0,0.359
2025-01-01 07:00:00,Lab3,0,0,0,0.493
2025-01-01 07:00:00,Library,0,0,0,0.281
2025-01-01 07:00:00,SeminarHall,0,0,0,0.489
